numerical,demographics,clinical_group,clinical_te,diagnosis_group,diagnosis_te,medication_group,medication,other
-0.3786306,0.09659588,0.11311391,0.109893605,0.20369013,-0.14960457,-0.047577832,0.01381256,0.07412588
-0.62331295,-0.06340785,0.06873847,0.15042779,0.07651754,-0.39267248,0.052344438,0.10163547,0.08293994
-0.57703507,-0.01540176,0.12953818,0.2521165,0.17163981,-0.3472977,-0.07181695,-0.009543338,0.05125449
-0.31345832,-0.05389843,0.0052267476,-0.3431445,-0.20429674,-0.32614714,-0.071348496,-0.0020353026,0.022123007
-0.21620002,-0.03177389,0.11152325,0.21109618,0.092740946,0.29458344,0.017718725,0.04039396,0.07235004
-0.40270603,0.115447626,0.10310526,0.24106903,0.3083731,0.24578282,0.0014733048,0.035614133,0.07103598
-0.41824982,0.14453498,0.038118184,0.2077056,0.104934126,-0.25971475,0.016924368,0.09908356,0.12429429
-0.28939453,0.096555926,0.029758668,-0.17235076,0.059017323,-0.23769806,0.028658314,0.072963454,0.06476903
-0.459803,-0.07330371,0.023393711,-0.35507286,-0.045991868,0.089248896,-0.0044309963,0.030340208,0.042861804
-0.37760645,-0.028077057,0.06964862,0.084044345,-0.068063825,-0.0682842,-0.057357192,0.015241936,0.057747077
-0.38906357,-0.08491259,0.08501409,0.16409625,-0.022425499,-0.28551716,-0.064084895,0.0035931945,0.09778716
0.11431534,0.06168909,0.0862648,0.14866412,0.03897978,0.10152755,0.029473366,0.104606256,0.0510803
-0.25622287,0.03687895,0.055533156,0.12268836,0.0047618076,-0.089107215,0.017324748,0.07310026,0.049710162
0.18061355,0.050113752,-0.18276925,-0.2799798,0.12358289,0.0969107,0.008789673,0.05051603,0.08546783
-0.25790244,-0.047123812,0.035641227,-0.3145022,0.09527756,0.2129299,0.018076498,0.029260762,0.0586741
-0.57592094,-0.2410848,0.046525143,-0.1275611,-0.026071481,-0.3224874,-0.004520037,0.038935956,0.046490468
-0.27323532,0.09151225,0.06560684,0.1578221,-0.06455819,0.106725365,0.020543713,0.07325263,0.069886826
-0.453932,-0.051468633,0.030210692,-0.14506961,-0.10512604,-0.26889986,-0.05933711,0.007409813,0.080515474
-0.33436236,-0.01538482,0.087234125,0.12509984,0.11944567,0.09098646,-0.0114919115,0.029436056,0.0820415
-0.50482917,0.015731107,0.08338291,0.24230829,-0.23163646,0.07092577,-0.07112807,-0.0068929093,0.05093783
-0.39379802,-0.09571006,0.089283414,0.15474494,0.053130977,-0.38780802,-0.001532475,-0.0010015266,0.09011849
-0.4602289,0.113414645,0.05169072,0.20021239,-0.040022336,-0.11064239,0.04983272,0.087374955,0.08349238
-0.40215358,-0.084874846,-0.23709281,-0.2806663,0.018857576,0.4324048,0.026658356,0.03719669,0.052826814
-0.44727838,0.13375328,0.11172596,0.23838866,0.10851042,0.21619678,0.0040352116,0.049567964,0.086618595
-0.4829659,-0.01496147,-0.04424004,-0.13577622,-0.035363913,-0.33112332,-0.058170404,-0.0024490957,0.06961263
-0.30805355,-0.017405383,0.0052476637,0.091062404,0.031231487,0.010312758,0.053173237,0.08308376,0.061375402
0.05226117,0.10475603,0.045038972,0.21566194,-0.043551363,-0.21639778,0.05387797,0.12034197,0.06008938
0.06988074,0.1087223,-0.1835958,-0.044509828,0.08035426,-0.109906964,0.037371468,0.09549353,0.0790529
-0.22536018,0.09734389,-0.06327962,0.18697962,-0.017496627,0.25392014,-0.01289464,0.017232306,0.06960459
