feature,value,recall,precision,accuracy,roc_auc,prauc,f1,f2,tp,tn,fp,fn,size
time_in_hospital,13,0.5636363636363636,0.5740740740740741,0.5727272727272728,0.6417355371900827,0.6466711048774957,0.5688073394495413,0.5656934306569343,0.2818181818181818,0.2909090909090909,0.20909090909090908,0.21818181818181817,220
time_in_hospital,14,0.6534653465346535,0.6285714285714286,0.6084656084656085,0.6381638163816382,0.668485144242343,0.6407766990291263,0.6483300589390962,0.3492063492063492,0.25925925925925924,0.20634920634920634,0.18518518518518517,189
num_lab_procedures,1,0.4898785425101215,0.587378640776699,0.6758832565284179,0.7282338557742415,0.6178672457873051,0.5342163355408388,0.5067001675041876,0.1858678955453149,0.49001536098310294,0.130568356374808,0.1935483870967742,651
num_lab_procedures,2,0.6115702479338843,0.6851851851851852,0.6639004149377593,0.7120523415977962,0.6943714311405196,0.6462882096069869,0.625,0.3070539419087137,0.35684647302904565,0.14107883817427386,0.1950207468879668,241
num_lab_procedures,3,0.4745762711864407,0.7368421052631579,0.6821705426356589,0.7760290556900727,0.7716509059168806,0.5773195876288659,0.5109489051094891,0.21705426356589147,0.46511627906976744,0.07751937984496124,0.24031007751937986,129
num_lab_procedures,4,0.6,0.6206896551724138,0.6714285714285714,0.7316666666666666,0.7143283275674813,0.6101694915254238,0.6040268456375839,0.2571428571428571,0.4142857142857143,0.15714285714285714,0.17142857142857143,70
num_lab_procedures,5,0.4583333333333333,0.7333333333333333,0.6851851851851852,0.6611111111111111,0.6992995172299422,0.5641025641025641,0.4954954954954955,0.2037037037037037,0.48148148148148145,0.07407407407407407,0.24074074074074073,54
num_lab_procedures,6,0.4166666666666667,0.7142857142857143,0.7049180327868853,0.7837837837837838,0.6980488835033803,0.5263157894736842,0.45454545454545453,0.16393442622950818,0.5409836065573771,0.06557377049180328,0.22950819672131148,61
num_lab_procedures,7,0.2857142857142857,0.7272727272727273,0.6166666666666667,0.6897321428571428,0.7086541468244,0.41025641025641024,0.3252032520325203,0.13333333333333333,0.48333333333333334,0.05,0.3333333333333333,60
num_lab_procedures,8,0.5135135135135135,0.59375,0.5921052631578947,0.623007623007623,0.664714809613244,0.5507246376811594,0.5277777777777778,0.25,0.34210526315789475,0.17105263157894737,0.23684210526315788,76
num_lab_procedures,9,0.5797101449275363,0.6451612903225806,0.7150837988826816,0.7420289855072464,0.7070982062584132,0.6106870229007634,0.591715976331361,0.22346368715083798,0.49162011173184356,0.12290502793296089,0.16201117318435754,179
num_lab_procedures,10,0.4935064935064935,0.8085106382978723,0.7176470588235294,0.7782432621142299,0.7140252960035232,0.6129032258064516,0.5352112676056338,0.2235294117647059,0.49411764705882355,0.052941176470588235,0.22941176470588234,170
num_lab_procedures,11,0.5818181818181818,0.6037735849056604,0.6716417910447762,0.6913693901035672,0.6670509454490983,0.5925925925925926,0.5860805860805861,0.23880597014925373,0.43283582089552236,0.15671641791044777,0.17164179104477612,134
